参数名称,通道号,使能,模块名称
XY直线差补绝对合成速度,1528,Yes,轴参数
XY直线差补绝对合成加速度,1530,Yes,轴参数
XY直线差补绝对合成减速度,1532,Yes,轴参数
HMI_平台预位X方向值,1534,Yes,轴参数
HMI_平台预位Y方向值,1536,Yes,轴参数
HMI_压力校正合成速度,1538,Yes,轴参数
HMI_原点校正平台合成速度,1540,Yes,轴参数
HMI_Z轴预压位提速速度,1542,Yes,轴参数
HMI_Z轴预压位提速加速度,1544,Yes,轴参数
HMI_Z轴预压位提速减速度,1546,Yes,轴参数
HMI_单点测试想要测试点位,1548,Yes,轴参数
HMI_X方向原点校正平均值,1550,Yes,轴参数
HMI_Y方向原点校正平均值,1552,Yes,轴参数
HMI_Z方向原点校正平均值,1554,Yes,轴参数
HMI_单点设点测次数,1556,Yes,轴参数
HMI_X轴JOG速度,1558,Yes,轴参数
HMI_Y轴JOG速度,1560,Yes,轴参数
HMI_Z轴JOG速度,1562,Yes,轴参数
HMI_Z1轴JOG速度,1564,Yes,轴参数
HMI_Z2轴JOG速度,1566,Yes,轴参数
HMI_Z3轴JOG速度,1568,Yes,轴参数
HMI_X轴压力传感器位置值,1570,Yes,轴参数
HMI_Y轴压力传感器位置值,1572,Yes,轴参数
YZ_长度,1574,Yes,轴参数
YZ_时间,1576,Yes,轴参数
YZ_频率值,1578,Yes,轴参数
YZ_速度限制,1580,Yes,轴参数
YZ_加速度限制,1582,No,轴参数
HMI_Z轴,1584,Yes,轴参数
HMI_Z轴手动目标速度,1586,Yes,轴参数
HMI_Z轴手动加速度,1588,Yes,轴参数
HMI_Z轴手动减速度,1590,Yes,轴参数
HMI_Z轴,1592,No,轴参数
HMI_Z轴,1594,No,轴参数
HMI_Z轴,1596,No,轴参数
HMI_Z轴,1598,No,轴参数
一排1拍照点X1轴位置,1600,Yes,位置参数
一排2拍照点X2轴位置,1602,Yes,位置参数
一排3拍照点X3轴位置,1604,Yes,位置参数
二排1拍照点X1轴位置,1606,Yes,位置参数
二排2拍照点X2轴位置,1608,Yes,位置参数
二排3拍照点X3轴位置,1610,Yes,位置参数
三排1拍照点X1轴位置,1612,Yes,位置参数
三排2拍照点X2轴位置,1614,Yes,位置参数
三排3拍照点X3轴位置,1616,Yes,位置参数
四排1拍照点X1轴位置,1618,Yes,位置参数
四排2拍照点X2轴位置,1620,Yes,位置参数
四排3拍照点X3轴位置,1622,Yes,位置参数
五排1拍照点X1轴位置,1624,Yes,位置参数
五排2拍照点X2轴位置,1626,Yes,位置参数
五排3拍照点X3轴位置,1628,Yes,位置参数
一排1拍照点Y1轴位置,1630,Yes,位置参数
一排2拍照点Y2轴位置,1632,Yes,位置参数
一排3拍照点Y3轴位置,1634,Yes,位置参数
二排1拍照点Y1轴位置,1636,Yes,位置参数
二排2拍照点Y2轴位置,1638,Yes,位置参数
二排3拍照点Y3轴位置,1640,Yes,位置参数
三排1拍照点Y1轴位置,1642,Yes,位置参数
三排2拍照点Y2轴位置,1644,Yes,位置参数
三排3拍照点Y3轴位置,1646,Yes,位置参数
四排1拍照点Y1轴位置,1648,Yes,位置参数
四排2拍照点Y2轴位置,1650,Yes,位置参数
四排3拍照点Y3轴位置,1652,Yes,位置参数
五排1拍照点Y1轴位置,1654,Yes,位置参数
五排2拍照点Y2轴位置,1656,Yes,位置参数
五排3拍照点Y3轴位置,1658,Yes,位置参数
X第一排第一个测试示教值,1660,Yes,位置参数
X第二排第一个测试示教值,1662,Yes,位置参数
X第三排第一个测试示教值,1664,Yes,位置参数
X第四排第一个测试示教值,1666,Yes,位置参数
X第五排第一个测试示教值,1668,Yes,位置参数
X待机位置示教值,1670,Yes,位置参数
X压力传感器位置示教值,1672,Yes,位置参数
空,1674,No,位置参数
Y第一排第一个测试示教值,1676,Yes,位置参数
Y第二排第一个测试示教值,1678,Yes,位置参数
Y第三排第一个测试示教值,1680,Yes,位置参数
Y第四排第一个测试示教值,1682,Yes,位置参数
Y第五排第一个测试示教值,1684,Yes,位置参数
Y待机位置示教值,1686,Yes,位置参数
Y压力传感器位置示教值,1688,Yes,位置参数
空,1690,No,位置参数
HMI_测试位停留时间,1692,Yes,位置参数