IO名称,通道号,开启显示,关闭显示,使能,保持按钮,模块名称
IO1,w0.00,手动,手动,No,Yes,手动控制
DAQ触发,w0.01,手动关闭DAQ_TEST,手动输出DAQ_TEST,Yes,Yes,手动控制
电子触发,w0.02,手动关闭电子_TEST,手动输出电子_TEST,Yes,Yes,手动控制
电磁阀1,w0.03,手动关闭1号电磁阀,手动输出1号电磁阀,Yes,Yes,手动控制
电磁阀2,w0.04,手动关闭2号电磁阀,手动输出2号电磁阀,Yes,Yes,手动控制
电磁阀3,w0.05,手动关闭3号电磁阀,手动输出3号电磁阀,Yes,Yes,手动控制
PASS灯,w0.06,手动关闭Pass指示灯,手动输出Pass指示灯,Yes,Yes,手动控制
FAIL灯,w0.07,手动关闭Fail指示灯,手动输出Fail指示灯,Yes,Yes,手动控制
停止灯,w0.08,手动关闭停止灯,手动输出停止灯,Yes,Yes,手动控制
启动灯,w0.09,手动关闭启动灯,手动输出启动灯,Yes,Yes,手动控制
复位灯,w0.10,手动关闭复位灯,手动输出复位灯,Yes,Yes,手动控制
三色灯-红,w0.11,手动关闭三色灯红,手动输出三色灯红,Yes,Yes,手动控制
三色灯-黄,w0.12,手动关闭三色灯黄,手动输出三色灯黄,Yes,Yes,手动控制
三色灯-绿,w0.13,手动关闭三色灯绿,手动输出三色灯绿,Yes,Yes,手动控制
蜂鸣器,w0.14,手动关闭三色灯蜂鸣器,手动输出三色灯蜂鸣器,Yes,Yes,手动控制
照明灯,w0.15,手动关闭照明灯,手动照明灯,Yes,Yes,手动控制
X第一排第一个测试点,w4.09,示校完成,点击开始示校,Yes,No,点位示校
X第二排第一个测试点 ,w4.10,示校完成,点击开始示校,Yes,No,点位示校
X第三排第一个测试点 ,w4.11,示校完成,点击开始示校,Yes,No,点位示校
X第四排第一个测试点 ,w4.12,示校完成,点击开始示校,Yes,No,点位示校
X第五排第一个测试点 ,w4.13,示校完成,点击开始示校,Yes,No,点位示校
X待机位置示教 ,w4.14,示校完成,点击开始示校,Yes,No,点位示校
X压力传感器位置示教 ,w4.15,示校完成,点击开始示校,Yes,No,点位示校
,w5.00,示校完成,点击开始示校,No,No,点位示校
Y第一排第一个测试点 ,w5.01,示校完成,点击开始示校,Yes,No,点位示校
Y第二排第一个测试点 ,w5.02,示校完成,点击开始示校,Yes,No,点位示校
Y第三排第一个测试点 ,w5.03,示校完成,点击开始示校,Yes,No,点位示校
Y第四排第一个测试点 ,w5.04,示校完成,点击开始示校,Yes,No,点位示校
Y第五排第一个测试点 ,w5.05,示校完成,点击开始示校,Yes,No,点位示校
Y压力传感器位置示教 ,w5.06,示校完成,点击开始示校,Yes,No,点位示校
,w5.07,示校完成,点击开始示校,No,No,点位示校
第一排拍照示教点X1,w5.08,示校完成,点击开始示校,Yes,No,点位示校
第一排拍照示教点X2,w5.09,示校完成,点击开始示校,Yes,No,点位示校
第一排拍照示教点X3,w5.10,示校完成,点击开始示校,Yes,No,点位示校
第二排拍照示教点X1,w5.11,示校完成,点击开始示校,Yes,No,点位示校
第二排拍照示教点X2,w5.12,示校完成,点击开始示校,Yes,No,点位示校
第二排拍照示教点X3,w5.13,示校完成,点击开始示校,Yes,No,点位示校
第三排拍照示教点X1,w5.14,示校完成,点击开始示校,Yes,No,点位示校
第三排拍照示教点X2,w5.15,示校完成,点击开始示校,Yes,No,点位示校
,w6.00,示校完成,点击开始示校,No,No,点位示校
第三排拍照示教点X3,w6.01,示校完成,点击开始示校,Yes,No,点位示校
第四排拍照示教点X1,w6.02,示校完成,点击开始示校,Yes,No,点位示校
第四排拍照示教点X2,w6.03,示校完成,点击开始示校,Yes,No,点位示校
第四排拍照示教点X3,w6.04,示校完成,点击开始示校,Yes,No,点位示校
第五排拍照示教点X1,w6.05,示校完成,点击开始示校,Yes,No,点位示校
第五排拍照示教点X2,w6.06,示校完成,点击开始示校,Yes,No,点位示校
第五排拍照示教点X3,w6.07,示校完成,点击开始示校,Yes,No,点位示校
第一排拍照示教点Y1,w6.08,示校完成,点击开始示校,Yes,No,点位示校
第一排拍照示教点Y2,w6.09,示校完成,点击开始示校,Yes,No,点位示校
第一排拍照示教点Y3,w6.10,示校完成,点击开始示校,Yes,No,点位示校
二排拍照点示教Y1,w6.11,示校完成,点击开始示校,Yes,No,点位示校
二排拍照点示教Y2,w6.12,示校完成,点击开始示校,Yes,No,点位示校
二排拍照点示教Y3,w6.13,示校完成,点击开始示校,Yes,No,点位示校
三排拍照点示教Y1,w6.14,示校完成,点击开始示校,Yes,No,点位示校
三排拍照点示教Y2,w6.15,示校完成,点击开始示校,Yes,No,点位示校
,w7.00,示校完成,点击开始示校,No,No,点位示校
三排拍照点示教Y3,w7.01,示校完成,点击开始示校,Yes,No,点位示校
四排拍照点示教Y1,w7.02,示校完成,点击开始示校,Yes,No,点位示校
四排拍照点示教Y2,w7.03,示校完成,点击开始示校,Yes,No,点位示校
四排拍照点示教Y3,w7.04,示校完成,点击开始示校,Yes,No,点位示校
五排拍照点示教Y1,w7.05,示校完成,点击开始示校,Yes,No,点位示校
五排拍照点示教Y2,w7.06,示校完成,点击开始示校,Yes,No,点位示校
五排拍照点示教Y3,w7.07,示校完成,点击开始示校,Yes,No,点位示校
Z轴下测试位示教,w7.08,示校完成,点击开始示校,Yes,No,点位示校
Z轴上待机位示教,w7.09,示校完成,点击开始示校,Yes,No,点位示校
Z轴下预压位示教,w7.10,示校完成,点击开始示校,Yes,No,点位示校
Z1轴下测试位示教,w7.11,示校完成,点击开始示校,Yes,No,点位示校
Z1轴上待机位示教,w7.12,示校完成,点击开始示校,Yes,No,点位示校
Z2下测试位示教,w7.13,示校完成,点击开始示校,Yes,No,点位示校
Z2上待机位示教,w7.14,示校完成,点击开始示校,Yes,No,点位示校
Z3轴下测试位示教,w8.00,示校完成,点击开始示校,Yes,No,点位示校
Z3轴上待机位示教,w8.01,示校完成,点击开始示校,Yes,No,点位示校
平台预位X方向值,w8.02,示校完成,点击开始示校,Yes,No,点位示校
平台预位Y方向值,w8.03,示校完成,点击开始示校,Yes,No,点位示校